screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
pizzapicklespur,Nick 🦉 ⚖️ 🔭,924942768413188097,1257822082026442752,/pizzapicklespur/status/1257822082026442752,2020-05-05 23:58:48,1588723128,"How about the citizenry file suit against Congress, the Senate and the POTUS?

The Coronavirus Relief Bill, just enacted … began in Jan. 2019. What amazing planning and foresight that was!

https://www.congress.gov/bill/116th-congress/house-bill/748/all-actions?KWICView=false …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">How about the citizenry file suit against Congress, the Senate and the POTUS?

The <strong>Coronavirus</strong> Relief Bill, just enacted … began in Jan. 2019. What amazing planning and foresight that was!

<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.congress.gov/bill/116th-congress/house-bill/748/all-actions?KWICView=false"" dir=""ltr"" href=""https://t.co/zR9tCt4khb"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.congress.gov/bill/116th-congress/house-bill/748/all-actions?KWICView=false""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">congress.gov/bill/116th-con</span><span class=""invisible"">gress/house-bill/748/all-actions?KWICView=false</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.congress.gov/bill/116th-congress/house-bill/748/all-actions?KWICView=false'],[],False,[],,1,3,0,False,True,1257821373189238785,"[{'screen_name': 'ImpeachmentHour', 'user_id': '3159954231'}]"
JackJosephConn1,Jack Joseph Connor,1178517619076468736,1257822081858842626,/JackJosephConn1/status/1257822081858842626,2020-05-05 23:58:48,1588723128,Coronavirus: UK has highest number of deaths in Europe after passing Italy's total | UK News | Sky News https://news.sky.com/story/coronavirus-uk-has-highest-number-of-deaths-in-europe-after-passing-italys-total-11983019 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Coronavirus</strong>: UK has highest number of deaths in Europe after passing Italy's total | UK News | Sky News <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://news.sky.com/story/coronavirus-uk-has-highest-number-of-deaths-in-europe-after-passing-italys-total-11983019"" dir=""ltr"" href=""https://t.co/i2iVR5xPsW"" rel=""nofollow noopener"" target=""_blank"" title=""https://news.sky.com/story/coronavirus-uk-has-highest-number-of-deaths-in-europe-after-passing-italys-total-11983019""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">news.sky.com/story/coronavi</span><span class=""invisible"">rus-uk-has-highest-number-of-deaths-in-europe-after-passing-italys-total-11983019</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://news.sky.com/story/coronavirus-uk-has-highest-number-of-deaths-in-europe-after-passing-italys-total-11983019'],[],False,[],,0,0,0,False,False,,[]
tvanouvelles,TVA nouvelles,85334007,1257822080881487873,/tvanouvelles/status/1257822080881487873,2020-05-05 23:58:47,1588723127,"Une application qui peut traquer le coronavirus
https://www.tvanouvelles.ca/2020/05/05/une-application-qui-peut-traquer-le-coronavirus …pic.twitter.com/7Wxy7mNM33","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr"">Une application qui peut traquer le <strong>coronavirus</strong>
<a class=""twitter-timeline-link"" data-expanded-url=""https://www.tvanouvelles.ca/2020/05/05/une-application-qui-peut-traquer-le-coronavirus"" dir=""ltr"" href=""https://t.co/KPp2r7fpAU"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.tvanouvelles.ca/2020/05/05/une-application-qui-peut-traquer-le-coronavirus""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">tvanouvelles.ca/2020/05/05/une</span><span class=""invisible"">-application-qui-peut-traquer-le-coronavirus</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/7Wxy7mNM33"">pic.twitter.com/7Wxy7mNM33</a></p>",['https://www.tvanouvelles.ca/2020/05/05/une-application-qui-peut-traquer-le-coronavirus'],[],True,['https://pbs.twimg.com/media/EXSug9mXgAE3jz7.jpg'],,8,7,5,True,False,,[]
OchoGatosTX,MisterB,1044351407170703362,1257822078440321024,/OchoGatosTX/status/1257822078440321024,2020-05-05 23:58:47,1588723127,"I'm not sure there's a label.   Trump is definitely the least empathetic president ever.   It seems there needs to be separate category altogether.  Least isn't right.

President Trump to Americans who’ve lost loved ones to the coronavirus: 'I love you'

https://abcnews.go.com/Politics/president-trump-americans-whove-lost-loved-coronavirus-love/story?id=70515659 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I'm not sure there's a label.   Trump is definitely the least empathetic president ever.   It seems there needs to be separate category altogether.  Least isn't right.

President Trump to Americans who’ve lost loved ones to the <strong>coronavirus</strong>: 'I love you'

<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://abcnews.go.com/Politics/president-trump-americans-whove-lost-loved-coronavirus-love/story?id=70515659"" dir=""ltr"" href=""https://t.co/KGlqGyp9DE"" rel=""nofollow noopener"" target=""_blank"" title=""https://abcnews.go.com/Politics/president-trump-americans-whove-lost-loved-coronavirus-love/story?id=70515659""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">abcnews.go.com/Politics/presi</span><span class=""invisible"">dent-trump-americans-whove-lost-loved-coronavirus-love/story?id=70515659</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://abcnews.go.com/Politics/president-trump-americans-whove-lost-loved-coronavirus-love/story?id=70515659'],[],False,[],,0,0,0,False,False,,[]
snowboiiii,snowboiiii,945435789026058240,1257822077194772482,/snowboiiii/status/1257822077194772482,2020-05-05 23:58:47,1588723127,hope joe biden gets coronavirus and gives it to every single person involved with his campaign by creeping up behind them and smelling their hair https://twitter.com/thehill/status/1257692042945269760 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">hope joe biden gets <strong>coronavirus</strong> and gives it to every single person involved with his campaign by creeping up behind them and smelling their hair <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/thehill/status/1257692042945269760"" dir=""ltr"" href=""https://t.co/HCPH9GuFqf"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/thehill/status/1257692042945269760""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/thehill/status</span><span class=""invisible"">/1257692042945269760</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/thehill/status/1257692042945269760'],[],False,[],,35,0,2,True,False,,[]
hrushikesh94,Hrushikesh Rath,850757738187587585,1257822076955693064,/hrushikesh94/status/1257822076955693064,2020-05-05 23:58:47,1588723127,"Then what is the point in continuing with #lockdownindia when the curve doesn't seems to flatten???

We have to learn to live with #COVID19 .

This #lockdownextension one after others is simply not working.https://twitter.com/IndiaToday/status/1257677842290102272 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Then what is the point in continuing with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/lockdownindia?src=hash""><s>#</s><b>lockdownindia</b></a> when the curve doesn't seems to flatten???

We have to learn to live with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/COVID19?src=hash""><s>#</s><b><strong>COVID19</strong></b></a> .

This <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/lockdownextension?src=hash""><s>#</s><b>lockdownextension</b></a> one after others is simply not working.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/IndiaToday/status/1257677842290102272"" dir=""ltr"" href=""https://t.co/fWktNyyq9o"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/IndiaToday/status/1257677842290102272""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/IndiaToday/sta</span><span class=""invisible"">tus/1257677842290102272</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/IndiaToday/status/1257677842290102272'],"['lockdownindia', 'COVID19', 'lockdownextension']",False,[],,0,0,0,False,False,,[]
442,442,122783603,1257822076569878533,/442/status/1257822076569878533,2020-05-05 23:58:46,1588723126,"La #ATP, la #WTA, la #ITF y los organizadores de los cuatro torneos #GrandSlam crearon un programa para ayudar con varios millones de dólares a los jugadores más golpeados por el #coronavirus.

https://442.perfil.com/noticias/tenis/programa-ayuda-economica-millones-dolares-jugadores-coronavirus.phtml …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">La <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ATP?src=hash""><s>#</s><b>ATP</b></a>, la <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WTA?src=hash""><s>#</s><b>WTA</b></a>, la <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ITF?src=hash""><s>#</s><b>ITF</b></a> y los organizadores de los cuatro torneos <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GrandSlam?src=hash""><s>#</s><b>GrandSlam</b></a> crearon un programa para ayudar con varios millones de dólares a los jugadores más golpeados por el <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a>.

<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://442.perfil.com/noticias/tenis/programa-ayuda-economica-millones-dolares-jugadores-coronavirus.phtml"" dir=""ltr"" href=""https://t.co/5hrpimibOc"" rel=""nofollow noopener"" target=""_blank"" title=""https://442.perfil.com/noticias/tenis/programa-ayuda-economica-millones-dolares-jugadores-coronavirus.phtml""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">442.perfil.com/noticias/tenis</span><span class=""invisible"">/programa-ayuda-economica-millones-dolares-jugadores-coronavirus.phtml</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://442.perfil.com/noticias/tenis/programa-ayuda-economica-millones-dolares-jugadores-coronavirus.phtml'],"['ATP', 'WTA', 'ITF', 'GrandSlam', 'coronavirus']",False,[],,1,2,0,False,False,,[]
ReporteYa,Reporte Ya,221378668,1257822076519329793,/ReporteYa/status/1257822076519329793,2020-05-05 23:58:46,1588723126,"#5May #Coronavirus #Venezuela Delcy Rodríguez informó que los casos positivos de covid-19 aumentaron a 367 en toda Venezuela este martes, tras la aparición de dos nuevos pacientes en Bolívar y cuatro en Nueva Esparta.
- @VPITVpic.twitter.com/IPyskwcMMg","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/5May?src=hash""><s>#</s><b>5May</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Coronavirus?src=hash""><s>#</s><b><strong>Coronavirus</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Venezuela?src=hash""><s>#</s><b>Venezuela</b></a> Delcy Rodríguez informó que los casos positivos de covid-19 aumentaron a 367 en toda Venezuela este martes, tras la aparición de dos nuevos pacientes en Bolívar y cuatro en Nueva Esparta.
- <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""4527987340"" dir=""ltr"" href=""/VPITV""><s>@</s><b>VPITV</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/IPyskwcMMg"">pic.twitter.com/IPyskwcMMg</a></p>",[],"['5May', 'Coronavirus', 'Venezuela']",True,['https://pbs.twimg.com/media/EXStnHGXkAAmCzx.jpg'],,12,20,9,True,False,,[]
RLServices4,R and L Professional Services,1229074657929781249,1257822074674065408,/RLServices4/status/1257822074674065408,2020-05-05 23:58:46,1588723126,"CNBC: Trump does not wear coronavirus mask at Honeywell factory that makes masks.
https://www.cnbc.com/2020/05/05/coronavirus-trump-does-not-wear-covid-19-mask-at-honeywell-tour.html …

Rember doctor who made a cure? Once given shot it starts to work in 20 mins? Goverment had the shot
https://youtu.be/tTz_eXcvPGM 

via @GoogleNews","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">CNBC: Trump does not wear <strong>coronavirus</strong> mask at Honeywell factory that makes masks.
<a class=""twitter-timeline-link"" data-expanded-url=""https://www.cnbc.com/2020/05/05/coronavirus-trump-does-not-wear-covid-19-mask-at-honeywell-tour.html"" dir=""ltr"" href=""https://t.co/Aidwp5pgS5"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.cnbc.com/2020/05/05/coronavirus-trump-does-not-wear-covid-19-mask-at-honeywell-tour.html""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">cnbc.com/2020/05/05/cor</span><span class=""invisible"">onavirus-trump-does-not-wear-covid-19-mask-at-honeywell-tour.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>

Rember doctor who made a cure? Once given shot it starts to work in 20 mins? Goverment had the shot
<a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/tTz_eXcvPGM"" dir=""ltr"" href=""https://t.co/zfraEwWtK6"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/tTz_eXcvPGM""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/tTz_eXcvPGM</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>

via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""33584794"" dir=""ltr"" href=""/googlenews""><s>@</s><b>GoogleNews</b></a></p>","['https://www.cnbc.com/2020/05/05/coronavirus-trump-does-not-wear-covid-19-mask-at-honeywell-tour.html', 'https://youtu.be/tTz_eXcvPGM']",[],False,[],,0,0,0,False,False,,[]
indieferdie,Ferdie Balderas,49561187,1257822073512030208,/indieferdie/status/1257822073512030208,2020-05-05 23:58:46,1588723126,el COVID-19 es nuevo en la familia de los coronavirus,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">el COVID-19 es nuevo en la familia de los <strong>coronavirus</strong></p>",[],[],False,[],,0,0,1,True,True,1257818504880885760,"[{'screen_name': 'JavHdezUrzua', 'user_id': '179535620'}, {'screen_name': 'IrvingPineda', 'user_id': '39107287'}]"
